,valid,date,time,hour,sky_coverage
136,2023-07-04 05:34:00,2023-07-04,05:34:00,5,FEW
137,2023-07-04 05:51:00,2023-07-04,05:51:00,5,CLR
138,2023-07-04 05:58:00,2023-07-04,05:58:00,5,CLR
139,2023-07-04 06:11:00,2023-07-04,06:11:00,6,CLR
140,2023-07-04 06:47:00,2023-07-04,06:47:00,6,CLR
141,2023-07-04 06:51:00,2023-07-04,06:51:00,6,CLR
142,2023-07-04 07:08:00,2023-07-04,07:08:00,7,CLR
143,2023-07-04 07:51:00,2023-07-04,07:51:00,7,CLR
144,2023-07-04 08:51:00,2023-07-04,08:51:00,8,BKN
145,2023-07-04 09:51:00,2023-07-04,09:51:00,9,OVC
146,2023-07-04 10:51:00,2023-07-04,10:51:00,10,BKN
147,2023-07-04 11:51:00,2023-07-04,11:51:00,11,OVC
148,2023-07-04 12:28:00,2023-07-04,12:28:00,12,BKN
149,2023-07-04 12:38:00,2023-07-04,12:38:00,12,SCT
150,2023-07-04 12:51:00,2023-07-04,12:51:00,12,FEW
151,2023-07-04 13:07:00,2023-07-04,13:07:00,13,BKN
152,2023-07-04 13:51:00,2023-07-04,13:51:00,13,OVC
153,2023-07-04 14:51:00,2023-07-04,14:51:00,14,BKN
154,2023-07-04 14:59:00,2023-07-04,14:59:00,14,BKN
155,2023-07-04 15:16:00,2023-07-04,15:16:00,15,OVC
156,2023-07-04 15:24:00,2023-07-04,15:24:00,15,OVC
157,2023-07-04 15:29:00,2023-07-04,15:29:00,15,OVC
158,2023-07-04 15:51:00,2023-07-04,15:51:00,15,OVC
159,2023-07-04 15:59:00,2023-07-04,15:59:00,15,OVC
160,2023-07-04 16:04:00,2023-07-04,16:04:00,16,OVC
161,2023-07-04 16:26:00,2023-07-04,16:26:00,16,BKN
162,2023-07-04 16:38:00,2023-07-04,16:38:00,16,BKN
163,2023-07-04 16:46:00,2023-07-04,16:46:00,16,SCT
164,2023-07-04 16:51:00,2023-07-04,16:51:00,16,SCT
165,2023-07-04 17:51:00,2023-07-04,17:51:00,17,CLR
166,2023-07-04 18:51:00,2023-07-04,18:51:00,18,BKN
167,2023-07-04 19:51:00,2023-07-04,19:51:00,19,CLR
168,2023-07-04 20:51:00,2023-07-04,20:51:00,20,CLR
169,2023-07-04 21:51:00,2023-07-04,21:51:00,21,CLR
170,2023-07-04 22:51:00,2023-07-04,22:51:00,22,CLR
171,2023-07-04 23:51:00,2023-07-04,23:51:00,23,CLR
172,2023-07-05 00:51:00,2023-07-05,00:51:00,0,CLR
173,2023-07-05 01:51:00,2023-07-05,01:51:00,1,CLR
174,2023-07-05 02:51:00,2023-07-05,02:51:00,2,CLR
175,2023-07-05 03:10:00,2023-07-05,03:10:00,3,CLR
176,2023-07-05 03:51:00,2023-07-05,03:51:00,3,CLR
177,2023-07-05 04:10:00,2023-07-05,04:10:00,4,CLR
178,2023-07-05 04:49:00,2023-07-05,04:49:00,4,CLR
179,2023-07-05 04:51:00,2023-07-05,04:51:00,4,CLR
180,2023-07-05 05:24:00,2023-07-05,05:24:00,5,CLR
181,2023-07-05 05:49:00,2023-07-05,05:49:00,5,CLR
182,2023-07-05 05:51:00,2023-07-05,05:51:00,5,CLR
183,2023-07-05 05:59:00,2023-07-05,05:59:00,5,CLR
184,2023-07-05 06:07:00,2023-07-05,06:07:00,6,CLR
185,2023-07-05 06:51:00,2023-07-05,06:51:00,6,CLR
186,2023-07-05 07:51:00,2023-07-05,07:51:00,7,CLR
187,2023-07-05 08:13:00,2023-07-05,08:13:00,8,CLR
188,2023-07-05 08:37:00,2023-07-05,08:37:00,8,CLR
189,2023-07-05 08:46:00,2023-07-05,08:46:00,8,CLR
190,2023-07-05 08:51:00,2023-07-05,08:51:00,8,CLR
191,2023-07-05 09:19:00,2023-07-05,09:19:00,9,CLR
192,2023-07-05 09:51:00,2023-07-05,09:51:00,9,CLR
193,2023-07-05 10:07:00,2023-07-05,10:07:00,10,CLR
194,2023-07-05 10:51:00,2023-07-05,10:51:00,10,CLR
195,2023-07-05 11:51:00,2023-07-05,11:51:00,11,CLR
196,2023-07-05 12:51:00,2023-07-05,12:51:00,12,CLR
197,2023-07-05 13:51:00,2023-07-05,13:51:00,13,CLR
198,2023-07-05 14:51:00,2023-07-05,14:51:00,14,CLR
199,2023-07-05 15:51:00,2023-07-05,15:51:00,15,CLR
200,2023-07-05 16:51:00,2023-07-05,16:51:00,16,CLR
201,2023-07-05 17:51:00,2023-07-05,17:51:00,17,CLR
202,2023-07-05 18:51:00,2023-07-05,18:51:00,18,CLR
203,2023-07-05 19:51:00,2023-07-05,19:51:00,19,CLR
204,2023-07-05 20:51:00,2023-07-05,20:51:00,20,CLR
205,2023-07-05 21:51:00,2023-07-05,21:51:00,21,CLR
206,2023-07-05 22:51:00,2023-07-05,22:51:00,22,CLR
207,2023-07-05 23:51:00,2023-07-05,23:51:00,23,CLR
208,2023-07-06 00:51:00,2023-07-06,00:51:00,0,CLR
209,2023-07-06 01:51:00,2023-07-06,01:51:00,1,CLR
210,2023-07-06 02:51:00,2023-07-06,02:51:00,2,CLR
211,2023-07-06 03:51:00,2023-07-06,03:51:00,3,CLR
212,2023-07-06 04:51:00,2023-07-06,04:51:00,4,CLR
213,2023-07-06 05:51:00,2023-07-06,05:51:00,5,CLR
214,2023-07-06 06:51:00,2023-07-06,06:51:00,6,CLR
215,2023-07-06 07:51:00,2023-07-06,07:51:00,7,CLR
216,2023-07-06 08:51:00,2023-07-06,08:51:00,8,CLR
217,2023-07-06 09:51:00,2023-07-06,09:51:00,9,CLR
218,2023-07-06 10:51:00,2023-07-06,10:51:00,10,CLR
219,2023-07-06 11:51:00,2023-07-06,11:51:00,11,CLR
220,2023-07-06 12:51:00,2023-07-06,12:51:00,12,CLR
221,2023-07-06 13:51:00,2023-07-06,13:51:00,13,CLR
222,2023-07-06 14:51:00,2023-07-06,14:51:00,14,CLR
223,2023-07-06 15:51:00,2023-07-06,15:51:00,15,CLR
224,2023-07-06 16:51:00,2023-07-06,16:51:00,16,CLR
225,2023-07-06 17:51:00,2023-07-06,17:51:00,17,CLR
226,2023-07-06 18:51:00,2023-07-06,18:51:00,18,CLR
227,2023-07-06 19:51:00,2023-07-06,19:51:00,19,CLR
228,2023-07-06 20:51:00,2023-07-06,20:51:00,20,CLR
229,2023-07-06 21:51:00,2023-07-06,21:51:00,21,CLR
230,2023-07-06 22:51:00,2023-07-06,22:51:00,22,CLR
231,2023-07-06 23:51:00,2023-07-06,23:51:00,23,CLR
232,2023-07-07 00:51:00,2023-07-07,00:51:00,0,CLR
233,2023-07-07 01:51:00,2023-07-07,01:51:00,1,CLR
234,2023-07-07 02:51:00,2023-07-07,02:51:00,2,CLR
235,2023-07-07 03:51:00,2023-07-07,03:51:00,3,CLR
236,2023-07-07 04:51:00,2023-07-07,04:51:00,4,CLR
237,2023-07-07 05:51:00,2023-07-07,05:51:00,5,CLR
238,2023-07-07 06:51:00,2023-07-07,06:51:00,6,BKN
239,2023-07-07 07:25:00,2023-07-07,07:25:00,7,SCT
240,2023-07-07 07:33:00,2023-07-07,07:33:00,7,BKN
241,2023-07-07 07:51:00,2023-07-07,07:51:00,7,OVC
242,2023-07-07 08:31:00,2023-07-07,08:31:00,8,SCT
243,2023-07-07 08:40:00,2023-07-07,08:40:00,8,BKN
244,2023-07-07 08:51:00,2023-07-07,08:51:00,8,SCT
245,2023-07-07 09:32:00,2023-07-07,09:32:00,9,BKN
246,2023-07-07 09:51:00,2023-07-07,09:51:00,9,OVC
247,2023-07-07 10:51:00,2023-07-07,10:51:00,10,BKN
248,2023-07-07 10:59:00,2023-07-07,10:59:00,10,SCT
249,2023-07-07 11:11:00,2023-07-07,11:11:00,11,BKN
250,2023-07-07 11:51:00,2023-07-07,11:51:00,11,FEW
251,2023-07-07 12:09:00,2023-07-07,12:09:00,12,BKN
252,2023-07-07 12:38:00,2023-07-07,12:38:00,12,SCT
253,2023-07-07 12:51:00,2023-07-07,12:51:00,12,BKN
254,2023-07-07 13:51:00,2023-07-07,13:51:00,13,OVC
255,2023-07-07 14:51:00,2023-07-07,14:51:00,14,OVC
256,2023-07-07 15:15:00,2023-07-07,15:15:00,15,SCT
257,2023-07-07 15:51:00,2023-07-07,15:51:00,15,SCT
258,2023-07-07 16:51:00,2023-07-07,16:51:00,16,SCT
259,2023-07-07 17:51:00,2023-07-07,17:51:00,17,SCT
260,2023-07-07 18:51:00,2023-07-07,18:51:00,18,FEW
261,2023-07-07 19:51:00,2023-07-07,19:51:00,19,CLR
262,2023-07-07 20:51:00,2023-07-07,20:51:00,20,CLR
263,2023-07-07 21:51:00,2023-07-07,21:51:00,21,CLR
264,2023-07-07 22:51:00,2023-07-07,22:51:00,22,CLR
265,2023-07-07 23:51:00,2023-07-07,23:51:00,23,CLR
266,2023-07-08 00:51:00,2023-07-08,00:51:00,0,CLR
267,2023-07-08 01:51:00,2023-07-08,01:51:00,1,CLR
268,2023-07-08 02:51:00,2023-07-08,02:51:00,2,CLR
269,2023-07-08 03:51:00,2023-07-08,03:51:00,3,CLR
270,2023-07-08 04:51:00,2023-07-08,04:51:00,4,CLR
271,2023-07-08 05:51:00,2023-07-08,05:51:00,5,CLR
272,2023-07-08 06:51:00,2023-07-08,06:51:00,6,BKN
273,2023-07-08 07:51:00,2023-07-08,07:51:00,7,OVC
274,2023-07-08 08:39:00,2023-07-08,08:39:00,8,OVC
275,2023-07-08 08:51:00,2023-07-08,08:51:00,8,OVC
276,2023-07-08 09:19:00,2023-07-08,09:19:00,9,OVC
277,2023-07-08 09:51:00,2023-07-08,09:51:00,9,OVC
278,2023-07-08 10:29:00,2023-07-08,10:29:00,10,SCT
279,2023-07-08 10:37:00,2023-07-08,10:37:00,10,BKN
280,2023-07-08 10:51:00,2023-07-08,10:51:00,10,FEW
281,2023-07-08 11:34:00,2023-07-08,11:34:00,11,BKN
282,2023-07-08 11:51:00,2023-07-08,11:51:00,11,BKN
283,2023-07-08 12:16:00,2023-07-08,12:16:00,12,SCT
284,2023-07-08 12:51:00,2023-07-08,12:51:00,12,CLR
285,2023-07-08 13:51:00,2023-07-08,13:51:00,13,BKN
286,2023-07-08 14:05:00,2023-07-08,14:05:00,14,SCT
287,2023-07-08 14:51:00,2023-07-08,14:51:00,14,CLR
288,2023-07-08 15:51:00,2023-07-08,15:51:00,15,BKN
289,2023-07-08 16:51:00,2023-07-08,16:51:00,16,BKN
290,2023-07-08 17:51:00,2023-07-08,17:51:00,17,FEW
291,2023-07-08 18:51:00,2023-07-08,18:51:00,18,BKN
292,2023-07-08 19:51:00,2023-07-08,19:51:00,19,FEW
293,2023-07-08 20:51:00,2023-07-08,20:51:00,20,CLR
294,2023-07-08 21:51:00,2023-07-08,21:51:00,21,CLR
295,2023-07-08 22:51:00,2023-07-08,22:51:00,22,CLR
296,2023-07-08 23:51:00,2023-07-08,23:51:00,23,FEW
297,2023-07-09 00:51:00,2023-07-09,00:51:00,0,BKN
298,2023-07-09 01:51:00,2023-07-09,01:51:00,1,FEW
299,2023-07-09 02:51:00,2023-07-09,02:51:00,2,SCT
300,2023-07-09 03:51:00,2023-07-09,03:51:00,3,CLR
301,2023-07-09 04:51:00,2023-07-09,04:51:00,4,CLR
302,2023-07-09 05:51:00,2023-07-09,05:51:00,5,CLR
303,2023-07-09 06:11:00,2023-07-09,06:11:00,6,BKN
304,2023-07-09 06:51:00,2023-07-09,06:51:00,6,OVC
305,2023-07-09 07:51:00,2023-07-09,07:51:00,7,BKN
306,2023-07-09 08:51:00,2023-07-09,08:51:00,8,OVC
307,2023-07-09 09:01:00,2023-07-09,09:01:00,9,OVC
308,2023-07-09 09:24:00,2023-07-09,09:24:00,9,OVC
309,2023-07-09 09:51:00,2023-07-09,09:51:00,9,BKN
310,2023-07-09 10:10:00,2023-07-09,10:10:00,10,OVC
311,2023-07-09 10:51:00,2023-07-09,10:51:00,10,OVC
312,2023-07-09 11:09:00,2023-07-09,11:09:00,11,SCT
313,2023-07-09 11:35:00,2023-07-09,11:35:00,11,BKN
314,2023-07-09 11:51:00,2023-07-09,11:51:00,11,BKN
315,2023-07-09 12:21:00,2023-07-09,12:21:00,12,SCT
316,2023-07-09 12:51:00,2023-07-09,12:51:00,12,BKN
317,2023-07-09 13:32:00,2023-07-09,13:32:00,13,SCT
318,2023-07-09 13:51:00,2023-07-09,13:51:00,13,SCT
319,2023-07-09 13:58:00,2023-07-09,13:58:00,13,BKN
320,2023-07-09 14:23:00,2023-07-09,14:23:00,14,BKN
321,2023-07-09 14:51:00,2023-07-09,14:51:00,14,OVC
322,2023-07-09 15:51:00,2023-07-09,15:51:00,15,BKN
323,2023-07-09 16:51:00,2023-07-09,16:51:00,16,BKN
324,2023-07-09 17:51:00,2023-07-09,17:51:00,17,SCT
325,2023-07-09 18:51:00,2023-07-09,18:51:00,18,BKN
326,2023-07-09 19:51:00,2023-07-09,19:51:00,19,BKN
327,2023-07-09 19:54:00,2023-07-09,19:54:00,19,BKN
328,2023-07-09 20:04:00,2023-07-09,20:04:00,20,BKN
329,2023-07-09 20:09:00,2023-07-09,20:09:00,20,BKN
330,2023-07-09 20:51:00,2023-07-09,20:51:00,20,SCT
331,2023-07-09 21:51:00,2023-07-09,21:51:00,21,BKN
332,2023-07-09 21:59:00,2023-07-09,21:59:00,21,BKN
333,2023-07-09 22:16:00,2023-07-09,22:16:00,22,OVC
334,2023-07-09 22:29:00,2023-07-09,22:29:00,22,BKN
335,2023-07-09 22:34:00,2023-07-09,22:34:00,22,OVC
336,2023-07-09 22:51:00,2023-07-09,22:51:00,22,BKN
337,2023-07-09 22:57:00,2023-07-09,22:57:00,22,OVC
338,2023-07-09 23:01:00,2023-07-09,23:01:00,23,OVC
339,2023-07-09 23:03:00,2023-07-09,23:03:00,23,OVC
340,2023-07-09 23:11:00,2023-07-09,23:11:00,23,OVC
341,2023-07-09 23:17:00,2023-07-09,23:17:00,23,OVC
342,2023-07-09 23:29:00,2023-07-09,23:29:00,23,OVC
343,2023-07-09 23:51:00,2023-07-09,23:51:00,23,OVC
344,2023-07-09 23:57:00,2023-07-09,23:57:00,23,OVC
345,2023-07-10 00:51:00,2023-07-10,00:51:00,0,OVC
346,2023-07-10 01:09:00,2023-07-10,01:09:00,1,OVC
347,2023-07-10 01:24:00,2023-07-10,01:24:00,1,OVC
348,2023-07-10 01:40:00,2023-07-10,01:40:00,1,OVC
349,2023-07-10 01:51:00,2023-07-10,01:51:00,1,OVC
350,2023-07-10 02:01:00,2023-07-10,02:01:00,2,OVC
351,2023-07-10 02:11:00,2023-07-10,02:11:00,2,OVC
352,2023-07-10 02:51:00,2023-07-10,02:51:00,2,OVC
353,2023-07-10 03:04:00,2023-07-10,03:04:00,3,OVC
354,2023-07-10 03:18:00,2023-07-10,03:18:00,3,OVC
355,2023-07-10 03:28:00,2023-07-10,03:28:00,3,OVC
356,2023-07-10 03:31:00,2023-07-10,03:31:00,3,BKN
357,2023-07-10 03:35:00,2023-07-10,03:35:00,3,BKN
358,2023-07-10 03:42:00,2023-07-10,03:42:00,3,BKN
359,2023-07-10 03:51:00,2023-07-10,03:51:00,3,BKN
360,2023-07-10 04:08:00,2023-07-10,04:08:00,4,BKN
361,2023-07-10 04:51:00,2023-07-10,04:51:00,4,OVC
362,2023-07-10 05:51:00,2023-07-10,05:51:00,5,OVC
363,2023-07-10 06:08:00,2023-07-10,06:08:00,6,BKN
364,2023-07-10 06:48:00,2023-07-10,06:48:00,6,BKN
365,2023-07-10 06:51:00,2023-07-10,06:51:00,6,BKN
366,2023-07-10 07:51:00,2023-07-10,07:51:00,7,OVC
367,2023-07-10 08:51:00,2023-07-10,08:51:00,8,CLR
368,2023-07-10 09:10:00,2023-07-10,09:10:00,9,FEW
369,2023-07-10 09:25:00,2023-07-10,09:25:00,9,BKN
370,2023-07-10 09:51:00,2023-07-10,09:51:00,9,BKN
371,2023-07-10 09:59:00,2023-07-10,09:59:00,9,BKN
372,2023-07-10 10:10:00,2023-07-10,10:10:00,10,OVC
373,2023-07-10 10:26:00,2023-07-10,10:26:00,10,OVC
374,2023-07-10 10:37:00,2023-07-10,10:37:00,10,BKN
375,2023-07-10 10:51:00,2023-07-10,10:51:00,10,SCT
376,2023-07-10 11:39:00,2023-07-10,11:39:00,11,SCT
377,2023-07-10 11:51:00,2023-07-10,11:51:00,11,BKN
378,2023-07-10 12:19:00,2023-07-10,12:19:00,12,SCT
379,2023-07-10 12:51:00,2023-07-10,12:51:00,12,BKN
380,2023-07-10 13:24:00,2023-07-10,13:24:00,13,OVC
381,2023-07-10 13:51:00,2023-07-10,13:51:00,13,SCT
382,2023-07-10 14:16:00,2023-07-10,14:16:00,14,BKN
383,2023-07-10 14:51:00,2023-07-10,14:51:00,14,BKN
384,2023-07-10 15:21:00,2023-07-10,15:21:00,15,BKN
385,2023-07-10 15:51:00,2023-07-10,15:51:00,15,BKN
386,2023-07-10 16:51:00,2023-07-10,16:51:00,16,SCT
387,2023-07-10 17:51:00,2023-07-10,17:51:00,17,SCT
388,2023-07-10 18:51:00,2023-07-10,18:51:00,18,OVC
389,2023-07-10 19:51:00,2023-07-10,19:51:00,19,SCT
390,2023-07-10 20:51:00,2023-07-10,20:51:00,20,SCT
391,2023-07-10 21:51:00,2023-07-10,21:51:00,21,SCT
392,2023-07-10 22:51:00,2023-07-10,22:51:00,22,FEW
393,2023-07-10 23:51:00,2023-07-10,23:51:00,23,BKN
394,2023-07-11 00:51:00,2023-07-11,00:51:00,0,CLR
395,2023-07-11 01:51:00,2023-07-11,01:51:00,1,CLR
396,2023-07-11 02:51:00,2023-07-11,02:51:00,2,CLR
397,2023-07-11 03:51:00,2023-07-11,03:51:00,3,CLR
398,2023-07-11 04:51:00,2023-07-11,04:51:00,4,CLR
399,2023-07-11 05:51:00,2023-07-11,05:51:00,5,CLR
400,2023-07-11 06:51:00,2023-07-11,06:51:00,6,CLR
401,2023-07-11 07:51:00,2023-07-11,07:51:00,7,CLR
402,2023-07-11 08:51:00,2023-07-11,08:51:00,8,CLR
403,2023-07-11 09:51:00,2023-07-11,09:51:00,9,CLR
404,2023-07-11 10:51:00,2023-07-11,10:51:00,10,CLR
405,2023-07-11 11:51:00,2023-07-11,11:51:00,11,CLR
406,2023-07-11 12:51:00,2023-07-11,12:51:00,12,CLR
407,2023-07-11 13:51:00,2023-07-11,13:51:00,13,CLR
408,2023-07-11 14:51:00,2023-07-11,14:51:00,14,CLR
409,2023-07-11 15:51:00,2023-07-11,15:51:00,15,CLR
